municipios,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado) (Toneladas)
Lambari,0,19,0,0,6,0,0,10,0,0
Lamim,0,4,0,0,0,0,0,1,0,0
Laranjal,0,0,0,0,0,0,0,0,0,0
Lassance,0,3,0,0,1,0,0,2,0,0
Lavras,11,135,29,5,27,1,0,41,1,35
Leandro Ferreira,0,0,0,0,0,0,0,0,0,0
Leme do Prado,0,7,0,0,1,0,0,3,0,6
Leopoldina,0,2,0,0,3,0,0,0,0,0
Liberdade,0,209,0,0,0,0,0,0,0,0
Lima Duarte,1,52,0,3,17,1,0,7,2,0
Limeira do Oeste,0,0,0,0,0,0,0,0,0,0
Lontra,0,0,0,0,0,0,0,0,0,0
Luisburgo,0,14,0,0,8,0,0,2,0,0
Luislândia,0,36,0,0,9,0,0,0,0,1
Luminárias,0,0,0,0,0,0,0,0,0,0
Luz,0,44,0,0,7,0,0,4,0,0
Machacalis,0,2,0,0,1,0,0,0,0,0
Machado,0,55,295,119,21,2,0,20,1,312
Madre de Deus de Minas,0,0,0,0,0,0,0,0,0,0
Malacacheta,0,51,0,9,11,0,0,32,1,154
Mamonas,0,3,0,0,0,0,0,0,0,0
Manga,0,24,0,600,2,0,0,0,0,4
Manhuaçu,0,62,0,13,41,5,0,347,0,425
Manhumirim,0,10,0,0,5,0,0,0,0,0
Mantena,0,21,1,0,8,0,0,0,0,16
Maravilhas,0,12,0,0,1,0,0,0,0,3241
Mar de Espanha,0,8,0,0,5,0,0,0,0,0
Maria da Fé,0,145,0,5,41,4,0,529,5,357
Mariana,0,47,0,1,26,2,0,5,3,3
Marilac,0,0,0,0,0,0,0,0,0,0
Mário Campos,111,2327,0,0,517,173,0,6,207,1
Maripá de Minas,0,0,0,0,0,0,0,0,0,0
Marliéria,0,6,0,0,0,0,0,0,0,0
Marmelópolis,0,0,0,0,0,0,0,123,0,440
Martinho Campos,0,0,0,0,0,0,0,0,0,0
Martins Soares,0,0,0,0,0,0,0,0,0,0
Mata Verde,0,0,0,0,0,0,0,0,0,0
Materlândia,0,0,0,0,0,0,0,0,0,0
Mateus Leme,0,62,0,0,10,1,0,42,0,849
Matias Barbosa,0,4,0,0,2,0,0,0,0,0
Matias Cardoso,0,16,0,0,10,0,0,0,0,9
Matipó,2,21,0,0,10,0,0,0,0,30
Mato Verde,0,7,0,24,2,0,0,0,0,0
Matozinhos,0,0,0,0,0,0,0,0,0,0
Matutina,0,0,0,0,0,0,0,0,0,0
Medeiros,0,0,0,0,0,0,0,0,0,0
Medina,0,20,0,0,3,0,0,1,0,181
Mendes Pimentel,0,2,0,0,1,0,0,0,0,1
Mercês,0,38,0,0,11,0,0,2,0,0
Mesquita,0,1,0,0,1,0,0,0,0,0
Minas Novas,0,55,0,6,18,1,0,42,2,82
Minduri,0,1,0,0,0,0,0,0,0,0
Mirabela,0,4,0,0,0,0,0,0,0,3
Miradouro,0,9,0,3,4,0,3,3,0,0
Miraí,0,5,0,0,0,0,0,0,0,0
Miravânia,0,3,0,0,0,0,0,0,0,0
Moeda,0,0,0,0,0,0,0,0,0,0
Moema,0,14,0,0,3,0,0,0,0,0
Monsenhor Paulo,0,226,0,0,2,0,0,1,2,0
Montalvânia,0,19,0,0,2,0,0,0,1,3
Monte Alegre de Minas,0,55,0,0,7,0,0,0,0,0
Monte Azul,0,20,0,2,0,0,0,0,2,27
Monte Belo,0,26,0,0,3,0,0,12,1,7
Monte Carmelo,0,127,0,0,8,0,0,5,0,12304
Monte Formoso,0,2,0,2,1,0,0,0,0,1
Monte Santo de Minas,1,43,0,0,3,0,0,2,3,0
Montes Claros,8,562,3,20,314,6,5,134,24,405
Monte Sião,0,21,0,0,14,0,0,8,1,0
Montezuma,0,3,0,0,0,0,0,0,0,1
Morada Nova de Minas,0,26,0,0,1,0,0,1,0,0
Morro da Garça,0,0,0,0,0,0,0,0,0,0
Munhoz,0,16,0,0,19,0,799,104,0,482
Muriaé,0,189,0,0,116,0,0,0,0,5
Mutum,0,8,0,1,26,0,0,70,0,1087
Muzambinho,0,44,0,0,19,0,0,0,1,0
Nacip Raydan,0,0,0,0,0,0,0,0,0,0
Nanuque,0,0,0,1,0,0,0,0,0,0
Naque,0,0,0,0,0,0,0,0,0,0
Natércia,0,0,0,0,0,0,0,0,0,0
Nazareno,0,0,0,0,0,0,0,0,0,0
Nepomuceno,0,64,0,0,10,0,0,85,0,6
Ninheira,0,22,0,0,1,0,0,0,1,5
Nova Belém,0,2,0,0,0,0,0,0,0,1
Nova Era,0,10,0,0,5,0,0,0,0,0
Nova Lima,0,8,0,0,3,1,0,0,1,0
Nova Módica,0,4,0,0,4,0,0,0,0,0
Nova Ponte,0,23,0,0,5,0,0,0,0,0
Nova Porteirinha,0,30,0,0,2,0,0,0,0,2
Nova Resende,0,24,0,0,1,0,0,1,0,0
Nova Serrana,0,3,0,0,3,0,0,1,0,0
Novo Cruzeiro,0,45,0,5,9,0,0,75,0,5
Novo Oriente de Minas,0,1,0,0,1,0,0,0,0,0
Novorizonte,0,4,0,0,0,0,0,0,0,0
Olaria,0,1,0,1,4,0,0,6,0,0
Olhos-d'Água,0,11,0,1,4,0,0,2,0,629
Olímpio Noronha,0,0,0,0,0,0,0,0,0,0
Oliveira,4,61,0,1,28,3,0,13,4,2905
Oliveira Fortes,0,0,0,0,0,0,0,0,0,0
Onça de Pitangui,0,0,0,0,0,0,0,0,0,3556
Oratórios,0,5,0,0,0,0,0,0,0,0
Orizânia,0,6,0,0,5,0,0,0,0,0
Ouro Branco,0,86,451,0,34,1,0,251,1,103
Ouro Fino,2,98,0,0,4,1,0,24,3,110
Ouro Preto,3,334,0,5,108,5,4,6,9,225
Ouro Verde de Minas,0,1,0,0,1,0,0,2,0,9
Padre Carvalho,0,0,0,0,0,0,0,0,0,0
Padre Paraíso,0,12,0,0,4,0,0,8,0,0
Paineiras,0,2,0,0,0,0,0,0,0,0
Pains,0,0,0,0,0,0,0,0,0,0
Pai Pedro,0,1,0,0,0,0,0,0,0,0
Paiva,0,0,0,0,0,0,0,0,0,0
Palma,0,0,0,0,0,0,0,0,0,0
Palmópolis,0,0,0,0,0,0,0,0,0,0
Papagaios,0,7,0,0,2,0,0,3,0,30
Paracatu,0,32,0,0,10,0,0,4,1,4
Pará de Minas,5,192,0,0,21,1,0,1,2,1480
Paraguaçu,5,224,0,0,12,1,0,87,3,153
Paraisópolis,0,67,0,15,6,0,398,27,1,426
Paraopeba,0,104,0,0,14,1,0,1,2,19
Passa Quatro,0,18,0,0,1,0,0,40,0,12
Passa Tempo,0,51,0,0,83,0,0,26,0,13546
Passa Vinte,0,13,0,0,1,0,0,25,0,0
Passos,4,330,0,0,83,7,0,23,34,40
Patis,0,2,0,0,0,0,0,0,0,0
Patos de Minas,18,163,0,2544,39,29,0,247,35,162
Patrocínio,32,217,0,1382,20,0,0,1441,0,3328
Patrocínio do Muriaé,0,0,0,0,0,0,0,0,0,0
Paula Cândido,0,14,0,0,14,0,0,12,0,1636
Paulistas,0,0,0,0,0,0,0,0,0,0
Pavão,0,8,0,0,3,0,0,0,0,0
Peçanha,0,16,0,3,5,0,0,4,0,2
Pedra Azul,0,32,0,0,3,0,0,4,1,0
Pedra Bonita,0,2,0,0,0,0,0,0,0,0
Pedra do Anta,0,5,0,0,6,0,0,1,0,30
Pedra do Indaiá,0,5,0,0,1,0,0,0,0,0
Pedra Dourada,0,2,0,0,0,0,0,2,0,0
Pedralva,0,13,0,0,7,0,0,123,0,480
Pedras de Maria da Cruz,0,8,0,0,6,0,0,0,0,0
Pedrinópolis,0,2,0,0,0,0,0,0,0,0
Pedro Leopoldo,0,143,0,0,131,0,0,0,0,29
Pedro Teixeira,0,2,0,0,0,0,0,0,0,0
Pequi,0,6,0,0,2,0,0,3,0,1430
Perdigão,0,44,0,0,66,1,0,3,1,0
Perdizes,0,155,0,0,0,0,0,4,0,0
Perdões,0,41,0,1,13,5,0,14,1,0
Periquito,0,1,0,0,1,0,0,0,0,0
Pescador,0,1,0,0,0,0,0,0,0,0
Piau,0,37,0,0,3,0,0,0,0,0
Piedade de Caratinga,39,3149,0,303,1109,64,0,2228,47,2506
Piedade de Ponte Nova,0,6,0,0,0,0,0,0,0,0
Piedade do Rio Grande,0,0,0,0,1,0,0,0,0,0
Piedade dos Gerais,0,0,0,87,0,0,0,0,0,0
Pimenta,0,24,0,0,0,0,0,0,0,4937
Pintópolis,0,3,0,0,0,0,0,0,0,5
Piracema,0,0,0,0,0,0,0,0,0,90
Pirajuba,0,0,0,0,0,0,0,0,0,0
Piranga,0,11,0,1,5,0,0,3,0,7
Piranguçu,0,44,0,0,17,0,0,0,0,0
Piranguinho,0,219,0,0,3,1,0,0,1,474
Pirapora,0,49,0,0,15,0,0,0,4,4
Piraúba,0,0,0,0,0,0,0,0,0,548
Pitangui,0,18,0,0,2,0,0,0,0,242
Piumhi,0,12,0,0,1,0,0,0,0,710
Planura,0,2,0,0,0,0,0,0,0,0
Poço Fundo,0,39,448,0,2,0,0,3,0,143
Poços de Caldas,13,175,0,0,43,10,0,8,20,194
Pocrane,0,1,0,0,0,0,0,0,0,0
Pompéu,4,40,0,1,2,0,0,8,0,95
Ponte Nova,0,51,0,0,32,7,0,3,2,11
Ponto dos Volantes,0,5,0,2,2,0,0,1,0,3
Porteirinha,0,26,0,2,7,0,0,1,1,17
Porto Firme,0,31,0,0,18,1,0,3,1,12
Poté,0,11,0,0,5,0,0,5,0,1
Pouso Alegre,21,819,0,39,16,1,38111,221,3,800
Pouso Alto,0,65,0,1,8,1,0,4,1,6
Prados,0,12,0,0,11,0,0,0,0,0
Prata,0,71,0,0,11,0,0,0,0,0
Pratápolis,0,53,0,0,7,0,0,1,3,0
Pratinha,0,0,0,0,0,0,0,0,0,0
Presidente Bernardes,0,0,0,0,0,0,0,0,0,0
Presidente Kubitschek,0,1,0,0,1,0,0,0,0,1
Presidente Olegário,0,22,0,0,2,0,0,40,0,75
Alto Jequitibá,0,0,0,0,0,0,0,0,0,0
Prudente de Morais,0,11,0,0,11,0,0,0,0,0
Quartel Geral,0,0,0,0,0,0,0,0,0,0
Queluzito,0,0,0,0,0,0,0,0,0,0
Raposos,0,8,0,0,3,0,0,0,0,0
Raul Soares,0,33,0,0,7,0,0,25,0,111
Recreio,0,0,0,0,0,0,0,0,0,0
Reduto,0,45,0,0,30,0,0,0,0,0
Resende Costa,0,31,0,0,16,0,0,7,0,0
Resplendor,0,0,0,0,1,0,0,0,0,0
Ressaquinha,0,0,0,0,0,0,1042,104,0,1015
Riachinho,0,0,0,0,0,0,0,0,0,0
Riacho dos Machados,0,9,0,0,2,0,0,0,0,1
Ribeirão das Neves,106,1183,0,0,323,102,0,3,128,0
Ribeirão Vermelho,0,0,0,0,0,0,0,0,0,0
Rio Acima,0,10,0,0,3,0,0,0,1,0
Rio Casca,0,7,0,0,1,0,0,0,0,0
Rio Doce,0,2,0,0,0,0,0,0,0,0
Rio do Prado,0,0,0,0,0,0,0,0,0,0
Rio Espera,0,6,0,0,9,0,0,2,0,7
Rio Manso,0,11,0,20,0,0,0,11,0,140
Rio Novo,0,22,0,0,12,0,0,0,0,0
Rio Paranaíba,0,0,0,0,0,0,0,0,0,1142
Rio Pardo de Minas,0,30,0,20,9,0,0,4,1,1057
Rio Piracicaba,0,10,0,0,5,0,0,5,0,3
Rio Pomba,0,13,0,0,2,0,0,1,0,0
Rio Preto,0,4,0,0,1,0,0,0,0,0
Rio Vermelho,0,0,0,0,0,0,0,0,0,1
Ritápolis,0,0,0,0,0,0,0,0,0,0
Rodeiro,0,1,0,0,0,0,0,0,0,44
Romaria,0,0,0,0,0,0,0,0,0,0
Rosário da Limeira,0,4,0,0,1,0,0,0,0,0
Rubelita,0,4,0,0,2,0,0,0,0,270
Rubim,0,1,0,0,1,0,0,0,0,0
Sabará,3,47,0,0,52,3,0,15,10,110
Sabinópolis,0,12,0,1,5,0,0,1,0,116
Sacramento,0,2,0,0,1,0,0,0,0,3367
Salinas,0,32,0,11,27,1,0,4,1,979
Salto da Divisa,0,0,0,0,0,0,0,0,0,0
Santa Bárbara,0,26,0,0,7,1,0,3,1,5
Santa Bárbara do Leste,0,2,0,0,2,0,0,192,0,1124
Santa Bárbara do Monte Verde,0,0,0,0,0,0,0,0,0,0
Santa Bárbara do Tugúrio,0,1,0,0,2,0,10,0,0,31
Santa Cruz de Salinas,0,1,0,0,1,0,0,0,0,0
Santa Cruz do Escalvado,0,1,0,0,1,0,0,0,0,0
Santa Efigênia de Minas,0,0,0,0,1,0,0,0,0,0
Santa Fé de Minas,0,3,0,0,0,0,0,0,0,6
Santa Helena de Minas,0,0,0,0,0,0,0,0,0,0
Santa Juliana,0,15,0,0,0,0,0,1,0,0
Santa Luzia,0,3,0,0,3,0,0,0,0,0
Santa Margarida,0,2,0,0,3,0,0,0,0,0
Santa Maria de Itabira,0,3,0,0,2,0,0,0,0,1
Santa Maria do Salto,0,3,0,0,0,0,0,0,0,0
Santa Maria do Suaçuí,0,28,0,0,9,0,0,4,0,4
Santana da Vargem,0,1509,0,0,0,0,0,4,0,0
Santana de Cataguases,0,1,0,1,0,0,0,0,0,0
Santana de Pirapama,0,6,0,0,3,0,0,0,0,439
Santana do Deserto,0,0,0,0,0,0,0,0,0,0
Santana do Garambéu,0,0,0,0,0,0,0,0,0,0
Santana do Manhuaçu,0,6,0,0,2,0,0,0,0,0
Santana do Paraíso,0,22,0,0,1,0,0,0,0,0
Santana do Riacho,0,3,0,0,1,0,0,1,0,0
Santa Rita de Caldas,0,7,1910,0,0,0,0,0,0,0
Santa Rita de Jacutinga,0,3,0,1,7,0,0,1,0,0
Santa Rita de Minas,0,16,0,0,10,0,0,0,0,132
Santa Rita de Ibitipoca,0,0,0,0,0,0,0,0,0,0
Santa Rita do Itueto,0,0,0,0,0,0,0,0,0,0
Santa Rita do Sapucaí,0,26,0,0,3,0,53,0,4,0
Santa Rosa da Serra,0,0,0,0,0,0,0,0,0,0
Santa Vitória,0,81,0,0,13,0,0,0,1,0
Santo Antônio do Amparo,0,4,0,0,1,0,0,0,0,0
Santo Antônio do Aventureiro,0,0,0,0,0,0,0,0,0,76
Santo Antônio do Grama,0,3,0,0,1,0,0,0,0,0
Santo Antônio do Itambé,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Jacinto,0,6,0,1,2,0,0,0,0,1
Santo Antônio do Monte,0,84,0,0,57,0,0,4,0,45
Santo Antônio do Retiro,0,25,0,9,6,0,0,6,0,59
Santo Hipólito,0,0,0,0,0,0,0,0,0,0
Santos Dumont,0,74,0,0,22,1,8,6,0,0
São Bento Abade,0,9,0,0,0,0,0,22,0,0
São Brás do Suaçuí,0,0,0,0,0,0,0,0,0,0
São Domingos das Dores,0,47,0,0,1,0,0,0,0,52
São Domingos do Prata,15,153,0,0,44,1,0,52,2,80
São Félix de Minas,0,0,0,0,0,0,0,0,0,0
São Francisco,0,11,0,0,5,0,0,0,4,0
São Francisco de Paula,0,0,0,0,0,0,0,0,0,0
São Francisco do Glória,0,15,0,0,8,0,0,0,0,0
São Geraldo,0,12,0,0,3,0,0,0,0,752
São Geraldo da Piedade,0,0,0,0,0,0,0,0,0,0
São Geraldo do Baixio,0,0,0,0,0,0,0,0,0,0
São Gonçalo do Abaeté,0,3,0,0,5,0,0,0,0,0
São Gonçalo do Pará,8,98,0,3,15,5,0,17,4,1
São Gonçalo do Rio Abaixo,3,97,0,0,17,1,0,3,2,0
São Gonçalo do Sapucaí,1,30,0,0,6,1,346,30,1,3093
São Gotardo,124,34,0,0,3,0,0,3630,1,245
São João Batista do Glória,0,76,0,0,5,1,0,2,2,0
São João da Lagoa,0,2,0,0,0,0,0,0,0,46
São João da Mata,0,0,0,0,0,0,0,0,0,0
São João da Ponte,0,4,0,0,3,0,0,1,0,3
São João das Missões,0,2,0,0,0,0,0,0,0,3
São João del Rei,0,129,0,0,31,0,0,22,0,94
São João do Manhuaçu,0,5,0,0,2,0,0,0,0,394
São João do Manteninha,0,3,0,0,1,0,0,0,0,0
São João do Oriente,0,0,0,0,0,0,0,0,0,0
São João do Pacuí,0,0,0,0,0,0,0,0,0,0
São João do Paraíso,0,22,0,0,6,0,0,4,0,4
São João Evangelista,0,14,0,0,11,1,0,68,0,4
São João Nepomuceno,0,7,0,0,2,0,0,0,0,0
São Joaquim de Bicas,47,1240,0,0,2702,27,0,0,22,357
São José da Barra,0,10,0,0,6,0,0,2,0,0
São José da Lapa,0,7,0,0,17,0,0,0,6,0
São José da Safira,0,0,0,0,0,0,0,0,0,7
São José da Varginha,0,0,0,0,0,0,0,0,0,5496
São José do Alegre,0,0,0,0,0,0,0,0,0,0
São José do Divino,0,1,0,0,0,0,0,0,0,2
São José do Goiabal,0,4,0,0,1,0,0,0,0,0
São José do Jacuri,0,14,0,0,14,1,0,1,1,295
São José do Mantimento,0,4,0,0,0,0,0,0,0,0
São Lourenço,0,0,0,0,0,0,0,0,0,0
São Miguel do Anta,0,13,0,0,10,0,0,9,0,424
São Pedro da União,0,10,0,0,1,0,0,0,0,0
São Pedro dos Ferros,0,15,0,0,6,0,0,0,0,0
São Pedro do Suaçuí,0,1,0,0,0,0,0,1,0,0
São Romão,0,6,0,0,4,0,0,0,0,3
São Roque de Minas,0,0,0,0,0,0,0,0,0,0
São Sebastião da Bela Vista,0,0,0,0,0,0,0,0,0,0
São Sebastião da Vargem Alegre,0,0,0,0,0,0,0,8,0,79
São Sebastião do Anta,0,13,0,0,12,0,0,0,0,0
São Sebastião do Maranhão,0,2,0,0,0,0,0,1,0,2
São Sebastião do Oeste,6,72,0,0,27,2,0,6,8,0
São Sebastião do Paraíso,14,249,0,12,68,1,0,231,13,10351
São Sebastião do Rio Preto,0,0,0,0,0,0,0,0,0,0
São Sebastião do Rio Verde,0,0,0,0,0,0,0,0,0,0
São Tiago,0,16,0,1,6,0,0,1,0,2
São Tomás de Aquino,0,4,0,0,0,0,0,0,0,0
São Tomé das Letras,0,14,0,0,6,0,0,1,0,0
São Vicente de Minas,0,8,0,0,0,0,0,0,0,108
Sapucaí-Mirim,0,5,0,2,2,0,0,18,1,180
Sardoá,0,2,0,0,1,0,0,0,0,0
Sarzedo,192,3244,0,0,462,383,0,0,301,0
Setubinha,0,5,0,0,2,0,0,4,0,22
Sem-Peixe,0,2,0,0,0,0,0,0,0,1
Senador Amaral,0,0,0,0,0,0,5642,0,0,0
Senador Cortes,0,0,0,0,0,0,0,0,0,0
Senador Firmino,0,0,0,0,0,0,0,0,0,0
Senador Modestino Gonçalves,0,2,0,0,1,0,0,3,0,1
Senhora de Oliveira,0,1,0,0,1,0,0,1,0,0
Senhora do Porto,0,0,0,0,0,0,0,0,0,0
Senhora dos Remédios,0,2,0,0,3,0,0,0,0,104
Sericita,0,0,0,0,0,0,0,0,0,0
Seritinga,0,0,0,0,0,0,0,0,0,0
Serra da Saudade,0,0,0,0,0,0,0,0,0,0
Serra dos Aimorés,0,42,0,0,4,1,0,0,1,0
Serra do Salitre,0,0,0,0,0,0,0,0,0,1933
Serrania,0,15,0,0,8,0,0,0,0,0
Serranópolis de Minas,0,1,0,0,0,0,0,0,0,0
Serranos,0,0,0,0,0,0,0,0,0,0
Serro,0,5,0,0,5,0,0,1,0,1
Sete Lagoas,8,683,0,0,78,4,0,25,12,13
Silveirânia,0,2,0,0,4,0,0,0,0,0
Silvianópolis,0,1,1052,0,0,0,0,0,0,538
Simão Pereira,0,0,0,0,0,0,0,0,0,0
Simonésia,0,11,14,0,6,0,0,103,0,432
Sobrália,0,2,0,0,1,0,0,0,0,0
Soledade de Minas,0,18,0,5,5,0,0,3,1,0
Tabuleiro,0,0,0,0,0,0,0,0,0,0
Taiobeiras,0,23,0,4,6,0,0,17,0,1642
Taparuba,0,0,0,0,0,0,0,0,0,0
Tapira,0,0,0,0,0,0,0,0,0,0
Tapiraí,0,0,0,0,0,0,0,0,0,0
Taquaraçu de Minas,0,0,0,0,13,0,0,0,0,0
Tarumirim,0,7,0,0,3,0,0,0,0,5
Teixeiras,0,39,0,0,15,0,0,74,5,220
Teófilo Otoni,0,360,0,1,105,3,0,132,10,157
Timóteo,0,0,0,0,0,0,0,0,0,0
Tiradentes,0,0,0,0,0,0,0,0,0,0
Tiros,0,31,0,0,0,0,0,0,0,0
Tocantins,0,6,0,0,4,0,0,0,0,940
Tocos do Moji,0,15,0,0,2,0,2668,0,0,169
Toledo,0,181,2959,0,0,0,0,0,0,131
Tombos,0,0,0,0,0,0,0,0,0,0
Três Corações,7,184,0,0,19,5,0,18,7,294
Três Marias,0,51,0,0,43,0,0,0,0,0
Três Pontas,0,317,0,6,16,5,0,22,5,36
Tumiritinga,0,3,0,0,2,0,0,0,0,0
Tupaciguara,0,57,0,0,1,0,0,0,0,0
Turmalina,0,31,0,4,14,0,0,43,1,756
Turvolândia,0,1,407,0,0,0,0,0,0,2133
Ubá,0,55,0,0,42,0,0,0,0,240
Ubaí,0,0,0,0,0,0,0,0,0,0
Ubaporanga,0,286,0,27,258,4,0,0,14,1468
Uberaba,1642,2558,0,12,472,10,0,727,138,328
Uberlândia,26,2008,0,8,354,6,0,68,43,922
Umburatiba,0,0,0,0,0,0,0,0,0,0
Unaí,0,117,0,3,24,0,0,11,5,95
União de Minas,0,0,0,0,0,0,0,0,0,0
Uruana de Minas,0,14,0,0,0,0,0,0,0,0
Urucânia,0,178,0,0,52,5,0,0,3,0
Urucuia,0,18,0,0,2,0,0,0,0,0
Vargem Alegre,0,0,0,0,0,0,0,0,0,0
Vargem Bonita,0,0,0,0,0,0,0,0,0,0
Vargem Grande do Rio Pardo,0,1,0,1,0,0,0,1,0,3
Varginha,23,242,0,2,86,17,0,22,24,0
Varjão de Minas,0,4,0,0,1,0,0,0,0,0
Várzea da Palma,0,93,0,0,12,0,0,0,0,45
Varzelândia,0,7,0,2,2,0,0,2,0,5
Vazante,0,2,0,0,2,0,0,0,0,0
Verdelândia,0,17,0,0,2,0,0,0,0,1
Veredinha,0,23,0,1,8,0,0,8,1,22
Veríssimo,0,2,0,0,0,0,0,0,0,0
Vermelho Novo,0,0,0,0,0,0,0,0,0,0
Vespasiano,0,65,0,0,39,0,0,0,31,0
Viçosa,0,170,0,2,116,2,0,146,7,279
Vieiras,0,50,0,0,3,0,0,0,0,0
Mathias Lobato,0,0,0,0,0,0,0,0,0,0
Virgem da Lapa,0,8,0,2,3,0,0,1,1,3
Virgínia,0,6,0,2,2,0,0,103,0,431
Virginópolis,0,16,0,0,3,0,0,2,0,487
Virgolândia,0,6,0,2,3,0,0,3,0,2
Visconde do Rio Branco,0,19,0,0,9,0,0,2,0,0
Volta Grande,0,0,0,0,0,0,0,0,0,0
Wenceslau Braz,0,12,0,0,1,0,0,0,0,0
