municipios,Abacate,Café (em grão) Total,Maçã,Pêssego,Uva,Abobrinha,Beterraba,Chuchu,Jiló,Pimentão,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado)
Rio Piracicaba,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,6
Rio Pomba,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
Rio Preto,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0
Rio Vermelho,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
Ritápolis,0,372,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
Rochedo de Minas,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,1
Rodeiro,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Romaria,0,8790,0,0,0,8,3,2,3,1,0,28,0,0,9,0,0,4,0,4
Rosário da Limeira,0,730,0,0,3,3,0,0,1,0,0,1509,0,0,0,0,0,4,0,0
Rubelita,0,0,0,0,0,5,0,0,6,0,0,1,0,1,0,0,0,0,0,0
Rubim,0,13,0,0,0,353,0,0,150,23,0,6,0,0,3,0,0,0,0,439
Sabará,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabinópolis,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento,4950,2586,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0
Salinas,0,7,0,0,6,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0
Salto da Divisa,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0
Santa Bárbara,0,14,0,0,0,4424,0,147,0,0,0,7,1910,0,0,0,0,0,0,0
Santa Bárbara do Leste,690,3100,0,0,0,9,0,1,8,0,0,3,0,1,7,0,0,1,0,0
Santa Bárbara do Monte Verde,0,2,0,0,3,18,0,0,5,19,0,16,0,0,10,0,0,0,0,132
Santa Bárbara do Tugúrio,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz de Salinas,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz do Escalvado,0,0,0,0,0,0,0,1,0,0,0,26,0,0,3,0,53,0,4,0
Santa Efigênia de Minas,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Fé de Minas,0,0,0,0,0,1,0,0,6,0,0,81,0,0,13,0,0,0,1,0
Santa Helena de Minas,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
Santa Juliana,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,76
Santa Luzia,0,0,0,0,0,4,0,0,16,0,0,3,0,0,1,0,0,0,0,0
Santa Margarida,36,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Maria de Itabira,0,0,0,0,0,1,1,3,1,1,0,6,0,1,2,0,0,0,0,1
Santa Maria do Salto,0,15,0,0,0,3,4,0,3,0,0,84,0,0,57,0,0,4,0,45
Santa Maria do Suaçuí,0,29,0,0,0,1,14,6,3,23,0,25,0,9,6,0,0,6,0,59
Santana da Vargem,0,6610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana de Cataguases,0,0,0,0,0,0,0,0,4,0,0,74,0,0,22,1,8,6,0,0
Santana de Pirapama,120,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,22,0,0
Santana do Deserto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana do Garambéu,0,5,0,0,0,0,0,0,0,0,0,47,0,0,1,0,0,0,0,52
Santana do Jacaré,0,576,0,0,0,0,2,5,6,40,15,153,0,0,44,1,0,52,2,80
Santana do Manhuaçu,0,9030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana do Paraíso,0,6,0,0,0,7,6,0,0,0,0,11,0,0,5,0,0,0,4,0
Santana do Riacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana dos Montes,0,0,0,0,12,0,12,0,11,0,0,15,0,0,8,0,0,0,0,0
Santa Rita de Caldas,0,240,0,268,15,0,1,0,2,19,0,12,0,0,3,0,0,0,0,752
Santa Rita de Jacutinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rita de Minas,54,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rita de Ibitipoca,0,0,0,0,0,1,0,0,2,0,0,3,0,0,5,0,0,0,0,0
Santa Rita do Itueto,0,9288,0,0,0,2,18,2,5,2,8,98,0,3,15,5,0,17,4,1
Santa Rita do Sapucaí,0,6000,0,0,0,2,3,0,4,0,3,97,0,0,17,1,0,3,2,0
Santa Rosa da Serra,0,4340,0,0,5,296,0,0,31,47,1,30,0,0,6,1,346,30,1,3093
Santa Vitória,0,0,0,0,0,5,1272,15,13,2,124,34,0,0,3,0,0,3630,1,245
Santo Antônio do Amparo,0,8917,0,0,0,1,0,0,1,0,0,76,0,0,5,1,0,2,2,0
Santo Antônio do Aventureiro,0,5,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,46
Santo Antônio do Grama,0,150,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Itambé,0,0,0,0,0,2,1,0,0,1,0,4,0,0,3,0,0,1,0,3
Santo Antônio do Jacinto,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,3
Santo Antônio do Monte,0,13,0,0,0,0,65,0,10,66,0,129,0,0,31,0,0,22,0,94
Santo Antônio do Retiro,0,28,0,0,0,0,0,0,1,9,0,5,0,0,2,0,0,0,0,394
Santo Antônio do Rio Abaixo,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
Santo Hipólito,0,0,0,0,0,40,0,0,1930,0,0,0,0,0,0,0,0,0,0,0
Santos Dumont,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Bento Abade,0,1520,0,0,0,2,6,2,0,0,0,22,0,0,6,0,0,4,0,4
São Brás do Suaçuí,0,0,0,0,0,1,7,2,6,0,0,14,0,0,11,1,0,68,0,4
São Domingos das Dores,0,3150,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0
São Domingos do Prata,0,72,0,0,0,592,0,1291,0,84,47,1240,0,0,2702,27,0,0,22,357
São Félix de Minas,0,17,0,0,0,1,12,1,2,0,0,10,0,0,6,0,0,2,0,0
São Francisco,0,0,0,0,0,0,0,0,0,0,0,7,0,0,17,0,0,0,6,0
São Francisco de Paula,0,4992,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
São Francisco de Sales,40,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,5496
São Francisco do Glória,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Geraldo,0,340,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
São Geraldo da Piedade,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
São Geraldo do Baixio,0,0,0,0,0,8,2,13,2,0,0,14,0,0,14,1,0,1,1,295
São Gonçalo do Abaeté,0,60,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
São Gonçalo do Pará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Gonçalo do Rio Abaixo,0,4,0,0,0,16,0,0,13,41,0,13,0,0,10,0,0,9,0,424
São Gonçalo do Sapucaí,5,6900,0,0,1182,2,1,0,2,0,0,10,0,0,1,0,0,0,0,0
São Gotardo,867,2300,0,0,0,1,2,0,1,0,0,15,0,0,6,0,0,0,0,0
São João Batista do Glória,0,490,0,0,6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
São João da Lagoa,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,3
São João da Mata,0,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João da Ponte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João das Missões,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,8,0,79
São João del Rei,40,348,0,0,0,3,5,1,1,0,0,13,0,0,12,0,0,0,0,0
São João do Manhuaçu,0,7730,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2
São João do Manteninha,0,54,0,0,0,1,0,0,4,3,6,72,0,0,27,2,0,6,8,0
São João do Oriente,0,0,0,0,0,23,9,37,37,13,14,249,0,12,68,1,0,231,13,10351
São João do Pacuí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João do Paraíso,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João Evangelista,0,0,0,0,0,1,1,2,1,0,0,16,0,1,6,0,0,1,0,2
São João Nepomuceno,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,0,0
São Joaquim de Bicas,8,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,1,0,0
São José da Barra,0,4590,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,108
São José da Lapa,0,0,0,0,0,47,5,11,6,11,0,5,0,2,2,0,0,18,1,180
São José da Safira,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
São José da Varginha,0,0,0,0,0,215,3,5678,0,44,192,3244,0,0,462,383,0,0,301,0
São José do Alegre,0,220,0,0,0,1,2,5,1,0,0,5,0,0,2,0,0,4,0,22
São José do Divino,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
São José do Goiabal,0,2,0,0,0,54,0,0,0,0,0,0,0,0,0,0,5642,0,0,0
São José do Jacuri,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São José do Mantimento,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Lourenço,0,55,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,3,0,1
São Miguel do Anta,0,1561,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
São Pedro da União,1770,6780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Pedro dos Ferros,0,0,0,0,0,2,0,0,3,4,0,2,0,0,3,0,0,0,0,104
São Pedro do Suaçuí,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Romão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Roque de Minas,300,8249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Sebastião da Bela Vista,0,1353,0,0,0,0,0,0,0,0,0,42,0,0,4,1,0,0,1,0
São Sebastião da Vargem Alegre,0,1133,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933
São Sebastião do Anta,0,5050,0,0,0,0,0,0,0,0,0,15,0,0,8,0,0,0,0,0
São Sebastião do Maranhão,0,59,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
São Sebastião do Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Sebastião do Paraíso,705,20320,0,140,0,1,2,1,1,1,0,5,0,0,5,0,0,1,0,1
São Sebastião do Rio Preto,0,0,0,0,0,9,38,6,3,6,8,683,0,0,78,4,0,25,12,13
São Sebastião do Rio Verde,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0
São Tiago,0,520,572,10,0,0,0,0,0,0,0,1,1052,0,0,0,0,0,0,538
São Tomás de Aquino,1000,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Tomé das Letras,0,1030,0,0,0,0,0,152,0,74,0,11,14,0,6,0,0,103,0,432
São Vicente de Minas,0,0,85,0,0,64,0,0,608,21,0,2,0,0,1,0,0,0,0,0
Sapucaí-Mirim,0,0,5,0,0,4,4,1,1,1,0,18,0,5,5,0,0,3,1,0
Sardoá,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarzedo,0,0,0,0,0,11,1,0,0,63,0,23,0,4,6,0,0,17,0,1642
Setubinha,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sem-Peixe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senador Amaral,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senador Cortes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Senador Firmino,0,76,0,0,0,43,0,0,39,0,0,7,0,0,3,0,0,0,0,5
Senador José Bento,0,663,0,0,0,0,0,3,9,42,0,39,0,0,15,0,0,74,5,220
Senador Modestino Gonçalves,0,48,0,0,0,41,9,75,84,148,0,360,0,1,105,3,0,132,10,157
Senhora de Oliveira,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senhora do Porto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senhora dos Remédios,0,48,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
Sericita,0,3300,0,0,0,345,0,0,470,387,0,6,0,0,4,0,0,0,0,940
Seritinga,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,2668,0,0,169
Serra Azul de Minas,0,4,0,0,0,180,0,0,0,51,0,181,2959,0,0,0,0,0,0,131
Serra da Saudade,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Serra dos Aimorés,0,0,0,0,0,25,20,25,18,13,7,184,0,0,19,5,0,18,7,294
Serra do Salitre,0,15040,0,0,0,0,0,0,0,0,0,51,0,0,43,0,0,0,0,0
Serrania,0,5400,0,0,5,7,10,7,14,7,0,317,0,6,16,5,0,22,5,36
Serranópolis de Minas,0,7,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0
Serranos,0,0,0,0,0,6,0,0,0,0,0,57,0,0,1,0,0,0,0,0
Serro,0,6,0,0,0,29,8,13,6,14,0,31,0,4,14,0,0,43,1,756
Sete Lagoas,120,0,0,0,0,1,0,0,101,80,0,1,407,0,0,0,0,0,0,2133
Silveirânia,0,0,0,0,0,46,0,0,117,50,0,55,0,0,42,0,0,0,0,240
Silvianópolis,6,1600,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simão Pereira,0,0,0,0,0,335,0,47,206,218,0,286,0,27,258,4,0,0,14,1468
Simonésia,950,12720,0,0,0,483,801,104,311,6,1642,2558,0,12,472,10,0,727,138,328
Sobrália,0,0,0,0,0,338,12,3103,309,42,26,2008,0,8,354,6,0,68,43,922
Soledade de Minas,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabuleiro,0,0,0,0,0,100,7,0,69,9,0,117,0,3,24,0,0,11,5,95
Taiobeiras,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taparuba,0,151,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Tapira,0,903,0,0,0,0,0,1,7,0,0,178,0,0,52,5,0,0,3,0
Tapiraí,0,1480,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0
Taquaraçu de Minas,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0
Tarumirim,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teixeiras,0,842,0,0,0,2,4,65,0,0,0,1,0,1,0,0,0,1,0,3
Teófilo Otoni,5,18,0,0,0,10,5,4,2,1,23,242,0,2,86,17,0,22,24,0
Timóteo,0,0,0,0,0,8,0,0,0,0,0,4,0,0,1,0,0,0,0,0
Tiradentes,0,0,0,0,0,2,2,0,8,5,0,93,0,0,12,0,0,0,0,45
Tiros,14,4068,0,0,0,6,3,1,0,0,0,7,0,2,2,0,0,2,0,5
Tocantins,38,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
Tocos do Moji,0,587,0,0,0,2,1,0,0,1,0,17,0,0,2,0,0,0,0,1
Toledo,0,0,0,0,0,5,3,4,4,1,0,23,0,1,8,0,0,8,1,22
Tombos,0,1153,0,0,0,24,0,16,47,0,0,2,0,0,0,0,0,0,0,0
Três Corações,960,14700,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Três Marias,0,0,0,0,0,0,0,0,0,0,0,65,0,0,39,0,0,0,31,0
Três Pontas,0,26950,0,0,0,14,11,4,14,35,0,170,0,2,116,2,0,146,7,279
Tumiritinga,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,0,0,0,0,0
Tupaciguara,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turmalina,0,347,0,0,19,0,3,0,0,0,0,8,0,2,3,0,0,1,1,3
Turvolândia,250,4320,146,180,0,25,1,0,19,1,0,6,0,2,2,0,0,103,0,431
Ubá,0,18,0,0,0,1,3,2,1,8,0,16,0,0,3,0,0,2,0,487
Ubaí,0,0,0,0,0,1,1,1,2,0,0,6,0,2,3,0,0,3,0,2
Ubaporanga,60,4048,0,0,0,1,9,0,17,8,0,19,0,0,9,0,0,2,0,0
Uberaba,1300,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uberlândia,300,410,0,0,0,3,0,0,0,0,0,12,0,0,1,0,0,0,0,0
Umburatiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unaí,0,11232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
União de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruana de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urucânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urucuia,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vargem Alegre,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vargem Bonita,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vargem Grande do Rio Pardo,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varginha,60,15740,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varjão de Minas,0,3922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Várzea da Palma,0,2178,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varzelândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vazante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdelândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veredinha,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veríssimo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermelho Novo,0,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vespasiano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viçosa,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vieiras,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathias Lobato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgem da Lapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgínia,0,91,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginópolis,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgolândia,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visconde do Rio Branco,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volta Grande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wenceslau Braz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
